[37.22169495, 26.12392426]
[36.82123184, 26.83326149]
[36.39312363, 27.25718117]
[35.89385223, 27.88277245]
[35.30240631, 28.3860054]
[34.8227005, 28.76620293]
[34.20063019, 29.23554611]
[33.72218323, 29.68716621]
[33.16181183, 30.17329025]
[32.67422104, 30.65287399]
[32.13872147, 31.14552689]
[31.64600372, 31.62299347]
[31.12132645, 32.12519836]
[30.62256813, 32.60160828]
[30.10985756, 33.11199951]
[29.59807205, 33.60041046]
[25.12945747, 39.07457733]
[24.69198227, 39.8068428]
[24.35992622, 40.25679398]
[23.87777138, 40.90300751]
[23.50917053, 41.4058609]
[22.97891045, 41.98285675]
[21.38087463, 43.54212189]
[21.10575104, 44.05913544]
[16.21957397, 56.06325531]
[15.98494911, 56.99669266]
[15.81103992, 57.97426605]
[15.6974268, 58.97826767]
[15.63346291, 59.98574448]
[15.55284882, 63.98260117]
[15.64470577, 65.04010773]
[15.8194437, 66.03797913]
[16.05875397, 66.98186493]
[16.38577461, 67.84835052]
[20.24889755, 73.82361603]
[20.58411217, 74.3033905]
[21.11207771, 74.86000061]
[21.92982292, 75.22344971]
[22.94999313, 75.48041534]
[27.98763466, 76.25850677]
[28.98801613, 76.30683899]
[29.98825836, 76.34889984]
[30.98488045, 76.40006256]
[49.02081299, 71.10317993]
[49.91163635, 70.82533264]
[50.90793991, 69.94423676]
[53.79354858, 67.66130829]
[54.23100662, 67.35777283]
[54.90726471, 66.88500977]
[55.4165535, 66.48175049]
[55.95720673, 65.95335388]
[56.4997139, 65.5254364]
[57.54517365, 64.57913971]
[62.09506607, 60.09778595]
[62.6022644, 59.56526947]
[63.10811234, 59.10978699]
[63.87319565, 58.70050812]
[65.79243469, 55.96126556]
[70.01714325, 48.00748062]
[70.5582962, 46.82664871]
[70.91951752, 45.97126007]
[71.23155975, 45.07970047]
[71.71951294, 43.90241623]
[72.02689362, 43.0090332]
[72.45599365, 41.81881714]
[73.57272339, 39.26599503]
[73.72098541, 38.87887192]
[73.93431091, 37.98888397]
[73.997612, 37.00014114]
[69.02651978, 21.97516441]
[67.92897034, 21.23409462]
[38.88571167, 25.6879921]
[65.53591156, 57.04481506]
[65.79243469, 55.96126556]
[64.99336243, 58.53856659]
[63.87319565, 58.70050812]
[63.87319565, 58.70050812]
[64.23034668, 58.20529938]
[65.08726501, 57.05968475]
[65.55335236, 56.35434341]
[65.79243469, 55.96126556]
